message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

15189	1mP	from		inclus	mountain	safe	1344014763	Rejoindre mon réseau sur LinkedIn	1684	51

t590	1mP	to	mention	make	thing	look	1343091521		t1501	16

t407	1mP	from	mention	have	will	good	1343092818		t1501	14

t525	1mP	from	mention	krees	minute	chat	1343175397		t1501	15

t589	1mP	to	mention	until	krees	opinion	1343175513		t1501	19

t591	1mP	to	mention	make	want	something	1343695192		t1501	12

t406	1mP	from	mention	not	would	jcukier	1343693463		t1501	4

t1602	1mP	from	dm	might	able	meet	1343865903		dm69	2

t1231	1mP	to	dm	world	last	working	1343871007		dm69	12

t1302	1mP	to	dm	like	what	here	1343952431		dm69	1

t1038	1mP	from	dm	cell	gray	yellow	1343952915		dm69	4

t1051	1mP	from	dm	nice	simple	keep	1343955033		dm69	20

t1627	1mP	from	dm	does	tomorrow	close	1343955322		dm69	8

t1127	1mP	to	dm	the	know	don	1343955487		dm69	4

