message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

8465	oyi	from		intérêt	êtes	réseau	1335792150	Rejoindre mon réseau sur LinkedIn	912	31

24056	oyi	to		chicago	female	homicides	1355603015	Fwd: News about Simon Rogers...	2579	114

24057	oyi	from		for	but	there	1355606138	Re: News about Simon Rogers...	2579	8

t1451	oyi	to	mention	help	janwillemtulp	win	1333157227		t498	7

t1536	oyi	to	mention	used	own	national	1333414747		t504	12

t816	oyi	to	mention	the	for	data	1334275908		t582	9

t1534	oyi	to	mention	http	results	french	1335229335		t670	15

t1684	oyi	to	mention	paris	http	better	1337735947		t868	4

t1537	oyi	to	mention	does	money	charts	1338425733		t950	18

t859	oyi	to	mention	was	out	right	1339205482		t1029	4

t1535	oyi	to	mention	http	help	smfrogers	1340670085		t1198	19

t254	oyi	to	mention	nbrgraphs	rule	smfrogers	1343262576		t1518	13

t1538	oyi	to	mention	paris	http	excited	1350433301		t1862	5

t1070	oyi	to	mention	great	http	via	1356135641		t2356	11

t1171	oyi	to	dm	you	from	about	1340067696		dm114	13

t1616	oyi	from	dm	was	now	thanks	1340068807		dm114	7

