message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

5072	v0v	from		notify	sender	privilege	1331328480	Nice add!	542	57

5071	v0v	to		with	jerome	though	1331380691	Re: Nice add!	542	12

20100	v0v	from		seed	waive	seedscientific	1350512129	Visualizing Global Marathon: Juror Invitation	2230	136

20097	v0v	to		definitely	during	visualizations	1350516678	Re: Visualizing Global Marathon: Juror Invitation	2230	22

20101	v0v	from		confidentiality	destroy	anywhere	1350573227	Re: Visualizing Global Marathon: Juror Invitation	2230	127

20098	v0v	to		whatsoever	governmental	responded	1352806970	Re: Visualizing Global Marathon: Juror Invitation	2230	139

20099	v0v	from		profiles	remained	drafts	1353009848	Re: Visualizing Global Marathon: Juror Invitation	2230	304

21742	v0v	from		juror	waive	instructions	1352498093	LIVE: Visualizing Global Marathon	2400	125

22027	v0v	from		agreeing	awarding	circulate	1352929340	Visualizing Global Marathon: Juror Instructions	2400	441

22980	v0v	from		jurors	seedscientific	scoring	1354203933	Visualizing Global Marathon: Juror Shortlist	2400	273

23298	v0v	from		serowski	shin	stahnke	1354714941	Visualizing Global Marathon: Winner Announcement	2400	285

22095	v0v	to		dude	worthy	convey	1352998693	judging	2437	167

22093	v0v	from		honorable	#NAME?	improved	1353000785	Re: judging	2437	255

22094	v0v	to		typographical	underwhelmed	unimpressed	1353001389	Re: judging	2437	1536

22096	v0v	from		typographical	underwhelmed	unimpressed	1353007014	Re: judging	2437	1619

22092	v0v	to		mit	senseable	accomplishments	1354715230	Re: judging	2437	190

