message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

1776	tdd	from		zsa			1327576651	=?utf-8?B?RG9ubsOpZXMgZGVzIGdyYXBoaXF1ZXMgKyBleHBvc8OpIGRlcyBtb3RpZnM=	175	1

1775	tdd	to		mesr	médicalisée	natixis	1327593297	Re: Données des graphiques =2B exposé des motifs	175	1879

1784	tdd	from		zsa	cgkdqoncgk	duqgbwzwgagy	1327657343	=?utf-8?B?UkU6IERvbm7DqWVzIGRlcyBncmFwaGlxdWVzICsgZXhwb3PDqSBkZXMgbW90 ifs	175	4

1779	tdd	from					1327675951	=?utf-8?B?UkU6IERvbm7DqWVzIGRlcyBncmFwaGlxdWVzICsgZXhwb3PDqSBkZXMgbW90 ifs	175	0

2247	tdd	to		message	cela	bonjour	1328028980	Fwd: where my money go	220	20

2249	tdd	from		brut	économiste	charges	1328030519	RE: where my money go	220	105

2293	tdd	to		premières	inégalités	manquent	1328053738	t=E2ches ménagères inégalités H/F	229	42

2288	tdd	from		ignvdxbszsa			1328071300	=?utf-8?B?UmU6IHTDomNoZXMgbcOpbmFnw6hyZXMgaW7DqWdhbGl0w6lzIEgvRg==	229	1

2292	tdd	to		merci	julien		1328089272	=?ISO-8859-1?B?UkU6IHTiY2hlcyBt6W5hZ+hyZXMgaW7pZ2FsaXTpcyBIL0Y=	229	2

2287	tdd	from		directeur	tél	julien	1328089478	RE: t=E2ches ménagères inégalités H/F	229	34

2291	tdd	to		captaindash	bazin	kilianba	1328092176	Re: t=E2ches ménagères inégalités H/F	229	19

2289	tdd	to		julien	brunowalther	guez	1328092479	=?ISO-8859-1?B?UkU6IHTiY2hlcyBt6W5hZ+hyZXMgaW7pZ2FsaXTpcyBIL0Y=	229	56

2290	tdd	from		kilianbazin	guez	tâches	1328092485	RE: t=E2ches ménagères inégalités H/F	229	51

2390	tdd	from					1328168471	=?utf-8?B?UmFwcG9ydCBjb21ww6l0aXRpdml0w6kgKyByw6lmb3JtZSBkZXMgcmV0cmFp tes	242	0

2423	tdd	from					1328184741	Bulletins de salaire - Comparaison France/Allemagne	244	0

2436	tdd	from		dqonclzvdxmgdhjv			1328709975	RE: Bulletins de salaire - Comparaison France/Allemagne	244	1

2420	tdd	to		être	vous	peut	1328710778	Re: Bulletins de salaire - Comparaison France/Allemagne	244	9

2425	tdd	to		ocde	qqs	description	1328711909	Re: Bulletins de salaire - Comparaison France/Allemagne	244	14

2660	tdd	to		upa	[â	ases	1328382968	La feuille de paye France vs Allemagne	270	408

2664	tdd	from					1328383437	Re: La feuille de paye France vs Allemagne	270	0

2661	tdd	to		merci	bonne	soirée	1328395708	Re: La feuille de paye France vs Allemagne	270	3

2662	tdd	from					1328440205	Re: La feuille de paye France vs Allemagne	270	0

2693	tdd	from		vfsdghlcgk			1328455031	Re: Data	274	1

2694	tdd	from		université	langue	enrichir	1328545678	RE: Data	274	124

2878	tdd	from		france	commerce	allemagne	1328632048	Balance commerciale France-Allemagne	300	7

20596	tdd	from		profil	corporation	recevez	1351107214	Rejoindre mon réseau sur LinkedIn	2299	47

