message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length

21898	CsQ	from		carrasco	profil	corporation	1352802216	Rejoindre mon réseau sur LinkedIn	2418	48

t632	CsQ	to	mention	merci	krismkrolls	jandcross	1339810642		t1084	10

t630	CsQ	to	mention	bientôt	krismkrolls	jandcross	1340237535		t1139	8

t321	CsQ	to	mention	était	france	non	1340241502		t1144	8

t1024	CsQ	to	mention	fyi	jandcross	cybunk	1340759906		t1208	4

t1080	CsQ	to	mention	happy	jandcross	mcdfrago	1340930831		t1222	12

t1017	CsQ	to	mention	comcomclaire	visite	jandcross	1341536005		t1343	5

t629	CsQ	to	mention	alors	rien	extérieur	1342139017		t1392	9

t179	CsQ	to	mention	les	nous	leur	1342139156		t1396	10

t903	CsQ	from	mention	jcukier	krismkrolls	jandcross	1342833491		t1475	14

t1567	CsQ	from	mention	smv	comcomclaire	krismkrolls	1342831233		t1475	7

t172	CsQ	from	mention	jcukier	comcomclaire	krismkrolls	1343956803		t1547	11

t902	CsQ	from	mention	jandcross	carpewebem	mcdfrago	1344043236		t1547	8

t171	CsQ	to	mention	comcomclaire	jandcross	carpewebem	1343956953		t1548	3

t384	CsQ	from	mention	comcomclaire	jandcross	carpewebem	1344043864		t1548	11

t1005	CsQ	from	mention	sur	avec	jcukier	1344300127		t1561	14

t1192	CsQ	from	mention	demande	tour	posé	1351560626		t2011	11

t633	CsQ	from	mention	vers	vite	saint	1351557719		t2011	7

